molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model,rmsd
1_3-butadiene,10,-56.928945,3.903033,1538.504,12,0.04554,NONE,-56.928948,3.899885,1719.86,14,0.047314,2.9999999995311555e-06,2.9999999995311555e-06,0.0031480000000003727,0.0031480000000003727,-181.356,181.356,-2,2,-0.0017740000000000047,0.0017740000000000047,claude,1.1812848204361432
1-chlorobutane,14,-71.741251,6.159851,2693.055,18,0.041613,NONE,-71.878788,6.156611,2412.643,16,0.041198,0.1375369999999947,0.1375369999999947,0.0032399999999999096,0.0032399999999999096,280.4119999999998,280.4119999999998,2,2,0.0004149999999999987,0.0004149999999999987,claude,0.23844329510937579
1-butanol,15,-80.069318,5.565035,3054.935,17,0.039992,NONE,-80.187845,5.531373,2917.24,18,0.041508,0.11852700000000027,0.11852700000000027,0.03366199999999964,0.03366199999999964,137.69500000000016,137.69500000000016,-1,1,-0.0015160000000000035,0.0015160000000000035,claude,0.4992336152367584
1-bromobutane,14,-71.269855,5.267591,3463.481,16,0.046297,NONE,-71.389896,5.262961,2685.794,12,0.049442,0.1200409999999863,0.1200409999999863,0.004630000000000578,0.004630000000000578,777.6870000000004,777.6870000000004,4,4,-0.003145000000000002,0.003145000000000002,claude,0.6720644351403368
1-hexanol,21,-113.052329,5.54821,3989.511,18,0.049524,NONE,-113.171879,5.502205,2971.823,14,0.049576,0.11955000000000382,0.11955000000000382,0.046005000000000074,0.046005000000000074,1017.6880000000001,1017.6880000000001,4,4,-5.200000000000343e-05,5.200000000000343e-05,claude,0.33141521405851704
1-butene,12,-64.976852,5.212232,4816.025,32,0.046635,NONE,-65.060265,5.41162,6366.989,42,0.041365,0.08341300000000729,0.08341300000000729,-0.1993879999999999,0.1993879999999999,-1550.964,1550.964,-10,10,0.005270000000000004,0.005270000000000004,claude,1.0142284272358357
1-pentanol,18,-96.561866,5.55901,2677.426,13,0.044377,NONE,-96.680026,5.520928,2841.084,15,0.040719,0.11816000000000315,0.11816000000000315,0.03808200000000017,0.03808200000000017,-163.6579999999999,163.6579999999999,-2,2,0.0036580000000000015,0.0036580000000000015,claude,0.5387475419898482
1-heptanol,24,-129.549007,5.548328,5794.798,23,0.046398,NONE,-129.664449,5.502813,4173.802,17,0.04973,0.1154420000000016,0.1154420000000016,0.04551499999999997,0.04551499999999997,1620.996,1620.996,6,6,-0.0033320000000000016,0.0033320000000000016,claude,0.4218186460720621
acetaldehyde,7,-39.515572,3.898049,1439.915,13,0.04598,NONE,-39.515814,3.896094,1220.336,11,0.043474,0.0002420000000000755,0.0002420000000000755,0.001954999999999707,0.001954999999999707,219.57899999999995,219.57899999999995,2,2,0.0025060000000000013,0.0025060000000000013,claude,0.2712442352937792
1-propanol,12,-63.591373,5.593007,3270.232,23,0.036169,NONE,-63.701162,5.57274,2107.313,14,0.038287,0.10978899999999925,0.10978899999999925,0.02026700000000048,0.02026700000000048,1162.9189999999999,1162.9189999999999,9,9,-0.002118000000000002,0.002118000000000002,claude,0.7536078849681438
2-butanol,15,-80.324748,5.499757,3189.695,17,0.048468,NONE,-80.320447,5.493852,2164.437,11,0.047895,-0.004300999999998112,0.004300999999998112,0.005904999999999383,0.005904999999999383,1025.2580000000003,1025.2580000000003,6,6,0.0005729999999999971,0.0005729999999999971,claude,1.0917446729480837
acetylene,4,-22.913139,6.744538,656.217,8,0.048698,NONE,-22.913116,6.743491,653.123,8,0.048615,-2.3000000002326715e-05,2.3000000002326715e-05,0.0010470000000006863,0.0010470000000006863,3.0939999999999372,3.0939999999999372,0,0,8.299999999999974e-05,8.299999999999974e-05,claude,0.0004141550781908644
2-chloropropane,11,-55.475294,6.219841,3123.132,22,0.040941,NONE,-55.473132,6.222513,2118.443,15,0.035238,-0.002161999999998443,0.002161999999998443,-0.002672000000000452,0.002672000000000452,1004.6889999999999,1004.6889999999999,7,7,0.005703,0.005703,claude,1.1620828883608578
1-octanol,27,-146.025951,5.552201,5755.665,19,0.045306,NONE,-146.161089,5.489717,7429.602,26,0.037627,0.13513800000001197,0.13513800000001197,0.06248400000000043,0.06248400000000043,-1673.937,1673.937,-7,7,0.007678999999999998,0.007678999999999998,claude,0.3182383721673112
acetic_acid,8,-47.562303,5.305251,1991.941,13,0.032389,NONE,-47.563255,5.307258,1907.688,13,0.01941,0.0009519999999980655,0.0009519999999980655,-0.00200699999999987,0.00200699999999987,84.25299999999993,84.25299999999993,0,0,0.012979000000000001,0.012979000000000001,claude,0.4115664438618009
acetone,10,-56.307774,3.961267,2108.465,13,0.049193,NONE,-56.336647,3.981878,1479.5,10,0.04662,0.028872999999997262,0.028872999999997262,-0.020611000000000157,0.020611000000000157,628.9650000000001,628.9650000000001,3,3,0.002572999999999999,0.002572999999999999,claude,0.18235546468982244
